Força;Posição
135,02;19,79
135,02;19,83
135,05;19,88
135,14;19,93
135,19;19,97
135,25;19,97
135,37;20,02
135,37;20,06
135,43;20,11
135,52;20,15
135,54;20,20
135,59;20,20
135,59;20,24
135,62;20,29
135,69;20,33
135,73;20,38
135,83;20,42
135,91;20,47
135,95;20,47
135,95;20,52
135,99;20,56
136,02;20,61
136,06;20,65
136,09;20,65
136,12;20,70
136,12;20,74
136,21;20,79
136,20;20,83
136,25;20,88
136,24;20,88
136,24;20,92
136,24;20,97
136,22;21,01
136,21;21,06
136,22;21,10
136,20;21,10
136,20;21,15
136,18;21,19
136,17;21,24
136,18;21,28
136,14;21,28
136,15;21,33
136,15;21,38
136,20;21,42
136,18;21,47
136,20;21,47
136,16;21,51
136,16;21,56
136,18;21,61
136,16;21,65
136,15;21,65
136,15;21,70
136,18;21,75
136,11;21,79
136,07;21,84
135,97;21,84
135,92;21,88
135,92;21,93
135,82;21,97
135,75;22,02
135,67;22,06
135,57;22,06
135,57;22,11
135,48;22,15
135,25;22,20
135,12;22,24
134,95;22,24
134,73;22,29
134,73;22,33
134,57;22,38
134,34;22,43
134,14;22,47
133,81;22,47
133,81;22,52
133,58;22,56
133,29;22,61
132,93;22,65
132,63;22,65
132,13;22,70
132,13;22,74
131,73;22,79
131,27;22,83
130,68;22,88
130,14;22,88
130,14;22,93
129,40;22,97
128,75;23,02
127,95;23,06
127,31;23,11
126,63;23,11
126,63;23,15
125,62;23,20
124,90;23,24
123,99;23,29
123,15;23,29
123,15;23,33
122,21;23,38
121,03;23,43
120,16;23,47
119,24;23,47
119,24;23,52
118,31;23,56
117,59;23,61
116,72;23,65
115,99;23,70
115,10;23,70
115,10;23,74
114,32;23,79
113,48;23,84
112,79;23,88
112,20;23,88
111,38;23,93
111,38;23,97
110,45;24,02
109,29;24,06
108,35;24,11
